state,country,population_2021
New South Wales,China,261330
New South Wales,England,240530
New South Wales,India,219230
New South Wales,New Zealand,128460
New South Wales,Philippines,110850
New South Wales,Vietnam,103710
New South Wales,Nepal,69220
New South Wales,Lebanon,68780
New South Wales,Iraq,59930
New South Wales,"Korea, South",55160
Victoria,India,272250
Victoria,China,182140
Victoria,England,181440
Victoria,New Zealand,108640
Victoria,Vietnam,99350
Victoria,Sri Lanka,72100
Victoria,Philippines,71250
Victoria,Italy,66050
Victoria,Malaysia,65360
Victoria,Greece,50380
Queensland,New Zealand,229920
Queensland,England,201750
Queensland,India,76870
Queensland,China,60350
Queensland,Philippines,54350
Queensland,South Africa,53300
Queensland,Vietnam,26350
Queensland,Scotland,24520
Queensland,USA,22900
Queensland,Germany,22280
South Australia,England,98770
South Australia,India,47190
South Australia,China,27470
South Australia,Vietnam,18150
South Australia,Italy,17000
South Australia,Philippines,16190
South Australia,New Zealand,14630
South Australia,Scotland,12180
South Australia,Germany,9930
South Australia,Malaysia,9510
Western Australia,England,211730
Western Australia,New Zealand,85590
Western Australia,India,66550
Western Australia,South Africa,49300
Western Australia,Philippines,40470
Western Australia,Malaysia,34800
Western Australia,China,31220
Western Australia,Scotland,28840
Western Australia,Vietnam,19920
Western Australia,Ireland,19910
Tasmania,England,20420
Tasmania,China,7440
Tasmania,India,6530
Tasmania,Nepal,6480
Tasmania,New Zealand,6060
Tasmania,Philippines,2590
Tasmania,Scotland,2480
Tasmania,USA,2340
Tasmania,Netherlands,2290
Tasmania,South Africa,2270
Northern Territory,Philippines,7320
Northern Territory,India,5860
Northern Territory,England,5790
Northern Territory,New Zealand,4840
Northern Territory,Nepal,3460
Northern Territory,China,1980
Northern Territory,Indonesia,1690
Northern Territory,Vietnam,1590
Northern Territory,USA,1500
Northern Territory,Sri Lanka,1490
Australian Capital Territory,India,17510
Australian Capital Territory,England,13410
Australian Capital Territory,China,12720
Australian Capital Territory,Nepal,5690
Australian Capital Territory,New Zealand,5460
Australian Capital Territory,Philippines,5160
Australian Capital Territory,Vietnam,4240
Australian Capital Territory,USA,3670
Australian Capital Territory,Sri Lanka,3410
Australian Capital Territory,Pakistan,3050
