financial_year,net_overseas_migration_total,net_overseas_migration_overseas_born,net_overseas_migration_australian_born
2004-05,142580,161260,-18680
2005-06,171840,186580,-14740
2006-07,232800,245580,-12790
2007-08,277340,292560,-15220
2008-09,299870,302140,-2280
2009-10,196060,199680,-3620
2010-11,180370,188510,-8130
2011-12,231950,239920,-7980
2012-13,230330,240170,-9840
2013-14,187780,207170,-19390
2014-15,184030,207040,-23000
2015-16,206230,227600,-21370
2016-17,263350,279150,-15800
2017-18,238220,253720,-15490
2018-19,241340,253690,-12360
2019-20,192700,174630,18060
2020-21,-84940,-92400,7470
2021-22,207910,221350,-13440
2022-23,538340,564500,-26160
2023-24,429160,450310,-21150
2024-25,305570,322630,-17060
